ID_UC_G0,GC_UCN_MAI_2025,GC_UCN_LIS_2025,GC_CNT_GAD_2025,GC_CNT_UNN_2025,GC_UCA_KM2_2025,GC_POP_TOT_2025,GC_DEV_WIG_2025,GC_DEV_USR_2025,GC_PLS_SCR_2025,GC_UCB_YOB_2025,GC_UCB_YOD_2025,GC_UCM_CAP
1,Apia,Apia,Samoa,Samoa,35,60041.65661,Lower Middle,Oceania,High,2025,2030,1
2,Nuku'alofa,Nuku'alofa,Tonga,Tonga,20,51990.7662,Upper Middle,Oceania,High,2025,2030,1
3,Ewa Beach,Ewa Beach,United States,United States of America,15,53720.65818,High income,Northern America,High,2025,2030,0
4,Papeete,Papeete,French Polynesia,French Polynesia,50,109747.1257,High income,Oceania,High,1980,2030,1
5,Rosarito,Rosarito,México,Mexico,29,76707.05999,Upper Middle,Latin America and the Caribbean,High,2015,2030,0
6,Victoria,Victoria,Canada,Canada,112,250759.7761,High income,Northern America,High,1975,2030,0
7,Malacatán,Malacatán,Guatemala,Guatemala,9,62529.1453,Upper Middle,Latin America and the Caribbean,High,2015,2030,0
8,Ahuachapan,Ahuachapan,El Salvador,El Salvador,19,83851.12663,Upper Middle,Latin America and the Caribbean,High,1980,2030,0
9,Santa Rosa,Santa Rosa,Honduras,Honduras,8,53613.32151,Lower Middle,Latin America and the Caribbean,High,2015,2030,0
10,Chinandega,Chinandega,Nicaragua,Nicaragua,15,104366.0248,Lower Middle,Latin America and the Caribbean,High,1975,2030,0
11,Belize City,Belize City,Belize,Belize,27,76330.51281,Upper Middle,Latin America and the Caribbean,High,2005,2030,0
12,Liberia,Liberia,Costa Rica,Costa Rica,13,52864.19541,Upper Middle,Latin America and the Caribbean,High,2020,2030,0
13,David,David,Panama,Panama,34,126994.9335,High income,Latin America and the Caribbean,High,1995,2030,0
14,Talara,Talara,Peru,Peru,16,79733.42422,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
15,Salinas [Santa Elena],Salinas; La Libertad,Ecuador,Ecuador,60,267482.0613,Upper Middle,Latin America and the Caribbean,High,1985,2030,0
16,San Andrés,San Andrés,Colombia,Colombia,13,59179.78244,Upper Middle,Latin America and the Caribbean,High,2005,2030,0
17,Pinar del Rio,Pinar del Rio,Cuba,Cuba,23,150118.8481,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
18,Montego Bay,Montego Bay,Jamaica,Jamaica,48,116517.2529,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
19,Nassau,Nassau,Bahamas,Bahamas,110,261235.2051,High income,Latin America and the Caribbean,High,1975,2030,1
20,Cruzeiro do Sul,Cruzeiro do Sul,Brazil,Brazil,13,63746.10474,Upper Middle,Latin America and the Caribbean,High,2015,2030,0
21,Ureña,Ureña,Venezuela,Venezuela (Bolivarian Republic of),10,50768.28206,Upper Middle,Latin America and the Caribbean,High,2025,2030,0
22,Jérémie,Jérémie,Haiti,Haiti,8,60004.22884,Lower Middle,Latin America and the Caribbean,High,2015,2030,0
23,Oranjestad,Oranjestad; Wayaca; Dakota,Aruba,Aruba,48,58101.1546,High income,Latin America and the Caribbean,High,2020,2030,1
24,Santa Cruz de Barahona,Santa Cruz de Barahona,Dominican Republic,Dominican Republic,18,78420.96092,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
25,Arica,Arica,Chile,Chile,35,121518.9626,High income,Latin America and the Caribbean,High,1975,2030,0
26,Willemstad,Willemstad,Curaçao,Curaçao,119,162058.5603,High income,Latin America and the Caribbean,High,2010,2030,1
27,Cobija,Cobija,Bolivia,Bolivia (Plurinational State of),12,71680.29271,Lower Middle,Latin America and the Caribbean,High,2020,2030,0
28,Ponce,Ponce,Puerto Rico,Puerto Rico,44,85911.66768,High income,Latin America and the Caribbean,High,1975,2030,0
29,San Juan,San Juan; Rivadavia,Argentina,Argentina,109,464848.0496,Upper Middle,Latin America and the Caribbean,High,1975,2030,0
30,Port of Spain,Port of Spain,Trinidad and Tobago,Trinidad and Tobago,154,474069.7262,High income,Latin America and the Caribbean,High,1975,2030,1
31,Fort-de-France,Fort-de-France,Martinique,Martinique,43,91150.17104,-,Latin America and the Caribbean,High,1975,2030,0
32,Bridgetown,Bridgetown,Barbados,Barbados,82,152912.0999,High income,Latin America and the Caribbean,High,1975,2030,1
