category|osm_id|lat|lon|name
64|N42452978|51.3561534|5.3059486|Kortkruisdijk
63|N42459812|51.3595437|5.3040013|Eersel, Postelseweg
63|N42461335|51.3599435|5.3228964|Eersel, Monsigneur de Haasstraat
63|N42464939|51.3613487|5.4666397|Valkenswaard, Merendreef
63|N42465596|51.3614689|5.4631056|Valkenswaard, Eindhovenseweg
63|N42471196|51.3638978|5.3116389|Eersel, Bospoort
63|N42474117|51.3651883|5.2959553|Duizel, Wolverstraat
63|N42474285|51.3653709|5.3216398|Eersel, Busstation Eersel
63|N42475436|51.3656773|5.4306200|Dommelen, Damianusdreef
63|N42486116|51.3702440|5.3340238|Steensel, De Hees
63|N42498029|51.3757189|5.6026261|Heeze, Crematorium
63|N42515590|51.3852329|5.5694542|Heeze
63|N42515761|51.3852124|5.5699229|Heeze, Station
63|N42518117|51.3869001|5.7134164|Someren, De Meer
63|N42520226|51.3880835|5.4091778|Veldhoven, Volmolenweg
64|N42520297|51.3881582|5.7059275|Speelheuvelplein
64|N42526631|51.3918358|5.4600659|Ansbalduslaan
64|N42534953|51.3966997|5.4727683|Kerkhoflaan
63|N42537242|51.3980435|5.2667785|Hoogeloon, Hoofdstraat
63|N42538680|51.3991035|5.6893858|Someren, Heesterdijk
64|N42541883|51.4008150|5.2653860|Vessemseweg
64|N42542303|51.4009383|5.7411702|Missiehuis
64|N42544672|51.4022537|5.7454979|Kerkstraat
63|N42546898|51.4035979|5.3966254|Veldhoven, Dorpsstraat
64|N42547133|51.4037629|5.7483714|Tuinstraat
63|N42550136|51.4059879|5.4147334|Veldhoven, ASML-Gebouw 4
63|N42552972|51.4078100|5.5605785|Geldrop, Bogardeind
20|N36723712|51.4478102|5.4875047|Bibliotheek TU/e
33|N38426640|51.4744097|5.5481784|Het Klooster
23|N39557960|51.4727658|5.5671237|Snackbar City
22|N39557973|51.4742557|5.5527185|New Oriental
22|N39557975|51.4739978|5.5525361|Pizzeria Messina
84|N39570893|51.4749676|5.5511787|Albert Heijn Jan Linders
63|N42416266|51.3396896|5.5466634|Leenderstrijp, Jansborg
64|N42427186|51.3450276|5.4273858|Westerhovenseweg
63|N42428180|51.3455765|5.5534888|Leende, Julianastraat
64|N42433016|51.3481584|5.4291038|Brouwerijplein
63|N42433780|51.3482566|5.6957719|Someren-Heide, Kerk
63|N42437267|51.3498972|5.4583485|Valkenswaard, Markt
63|N42437897|51.3502474|5.4587879|Valkenswaard, Markt
64|N42439458|51.3507568|5.4447991|Minister Aalbersestraat
63|N42442425|51.3522422|5.4671862|Valkenswaard, Leenderweg
63|N42442535|51.3522868|5.5578240|Leende, Oostrikkerstraat
64|N42442852|51.3523481|5.3860802|Kerk
64|N42445089|51.3536742|5.3100390|Voortseweg
64|N42449794|51.3553615|5.4357643|Ambrosiusdal
63|N42452175|51.3561595|5.3060042|Eersel, Kortkruisdijk
63|N42452683|51.3563678|5.4484525|Valkenswaard, Tienendreef
64|N25294742|51.4458744|5.4922979|TU/e ingang De Wielen
63|N25425653|51.4691005|5.5402346|Nuenen, Geldropsedijk
63|N25499385|51.4754335|5.5709570|Nuenen, Laan ter Catten
63|N25499387|51.4753444|5.5708662|Nuenen, Laan ter Catten
64|N25572982|51.4654434|5.5525664|Refeling
63|N25573002|51.4750527|5.5494386|Nuenen, Park
64|N25573004|51.4753772|5.5498220|Nuenen, Park
64|N25587259|51.4741167|5.5525934|Vincent van Goghplein
63|N25597400|51.4647728|5.5417629|Nuenen, Meierijlaan
63|N26306575|51.4667097|5.5586270|Nuenen, Opetersepad
59|N26306647|51.4711688|5.5510394|De Drietip
64|N27508619|51.5744881|5.4755226|Alfred Nobelstraat
64|N27508621|51.5703449|5.4638707|Ollandseweg
21|N30217240|51.4793175|5.5530658|Gemeentehuis Nuenen
64|N31493215|51.4828462|5.4508617|Artoislaan
64|N32575094|51.4905761|5.4516006|Castiliëlaan
23|N34032511|51.5000173|5.4727468|Burger King
23|N34043800|51.4394403|5.4779225|KFC
84|N34044459|51.4233540|5.4628062|Albert Heijn
84|N34044465|51.4516014|5.4722794|Albert Heijn
84|N34044470|51.4350011|5.4516307|Albert Heijn XL
84|N34044471|51.3869422|5.4457600|Albert Heijn
84|N34044472|51.4215829|5.4057537|Albert Heijn
84|N34044495|51.4769954|5.4929612|Albert Heijn
84|N34044498|51.4891362|5.4739314|Albert Heijn
84|N34044500|51.5113096|5.4909451|Albert Heijn
84|N34044508|51.4722828|5.5457385|Albert Heijn
84|N34044525|51.4700722|5.7020811|Albert Heijn
84|N34044530|51.4844391|5.6537358|Albert Heijn XL
84|N34044537|51.4646645|5.5495891|Lidl
84|N34045074|51.3481253|5.5504574|ALDI
84|N34045110|51.4947750|5.6676192|ALDI
84|N34045513|51.4202040|5.2896013|PLUS
84|N34045530|51.3615057|5.3166787|Jumbo Eersel
84|N34045532|51.4043388|5.3969770|Albert Heijn
84|N34045535|51.3998737|5.4696638|Jumbo Winters
84|N34045541|51.4793054|5.4632999|Jumbo
84|N34045544|51.4656502|5.6339720|Albert Heijn Jan Linders
84|N34045545|51.4740257|5.5469046|Jumbo
84|N34045967|51.4645752|5.5506216|Jumbo Nuenen
