poi_type_id,amenity_id,lat,lon,name,amenity,category,geometry,index_right,ID_UC_G0,GC_CNT_GAD_2025,GC_UCN_MAI_2025,GC_POP_TOT_2025,GC_UCA_KM2_2025,UC_NM_CTR,x_proj,y_proj,node_ids,cluster
10.0,CUSTOM,51.4441989,5.4731122,"Salveo Pharma B.V., Medical Warehouse",pharmacy,health_wellbeing,POINT (671863.1825939144 5702124.73246535),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671863.1825939144,5702124.73246535,11829067224,31
20.0,N36723712,51.4478102,5.4875047,"Bibliotheek TU/e,",library,community_space,POINT (672849.5750159111 5702560.144058454),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672849.5750159111,5702560.144058454,9999910010,31
64.0,N31493215,51.4828462,5.4508617,"Artoislaan,",platform,mobility,POINT (670173.276539401 5706369.940279562),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670173.276539401,5706369.940279562,42751474,15
64.0,N32575094,51.4905761,5.4516006,"Castiliëlaan,",platform,mobility,POINT (670195.7806227308 5707231.148162291),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670195.7806227308,5707231.148162291,5504169717,15
23.0,N34043800,51.4394403,5.4779225,"KFC,",fast_food,food_choices,POINT (672215.3217306978 5701606.927946193),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",672215.3217306978,5701606.927946193,42628429,1
84.0,N34044459,51.423354,5.4628062,"Albert Heijn,",supermarket,food_choices,POINT (671225.0335866797 5699782.868025824),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671225.0335866797,5699782.868025824,42589552,25
84.0,N34044465,51.4516014,5.4722794,"Albert Heijn,",supermarket,food_choices,POINT (671777.5252909478 5702945.857050933),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671777.5252909478,5702945.857050933,1268350533,18
84.0,N34044470,51.4350011,5.4516307,"Albert Heijn XL,",supermarket,food_choices,POINT (670404.8188151716 5701051.839386606),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",670404.8188151716,5701051.839386606,10203501717,19
84.0,N34044495,51.4769954,5.4929612,"Albert Heijn,",supermarket,food_choices,POINT (673118.166077669 5705818.114536409),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673118.166077669,5705818.114536409,6296036172,4
84.0,N34046424,51.4453412,5.5217386,"Lidl,",supermarket,food_choices,POINT (675237.5057659468 5702366.982749717),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",675237.5057659468,5702366.982749717,7659229656,17
84.0,N34046466,51.4692717,5.4745958,"Lidl,",supermarket,food_choices,POINT (671872.0348639365 5704916.044300429),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",671872.0348639365,5704916.044300429,11663176691,13
63.0,N42568398,51.4153145,5.497902,"Eindhoven, Floraplein",stop_position,mobility,POINT (673695.1902514996 5698971.587529896),2564,2627,Netherlands,Eindhoven,293437.7853,98,"Eindhoven, Netherlands",673695.1902514996,5698971.587529896,42568870,12
